symptom_id,symptom_name,symptom_name_hi,symptom_name_gu,body_system,symptom_category,severity_level,emergency_flag,common_in_children,common_in_adults,common_in_elderly,description,source
S000242,Lower Back Pain with Fever (Possible Kidney Infection),बुखार के साथ कमर दर्द (किडनी संक्रमण),તાવ સાથે કમરનો દુખાવો (કિડની ચેપ),Urinary,Urinary,High,Yes,No,Yes,Yes,"Back or flank pain combined with fever, which can indicate a kidney infection.",Draft - pending clinical review
S000243,Reduced Urine Output,पेशाब कम आना,પેશાબ ઓછો આવવો,Urinary,Urinary,High,Yes,No,Yes,Yes,"Passing noticeably less urine than usual, which can signal a kidney problem.",Draft - pending clinical review
S000244,Urgency to Urinate,अचानक पेशाब की तीव्र इच्छा,અચાનક પેશાબની તીવ્ર ઇચ્છા,Urinary,Urinary,Low,No,Yes,Yes,Yes,"A sudden, strong need to urinate that is hard to delay.",Draft - pending clinical review
S000245,Bedwetting in Children,बच्चों में बिस्तर गीला करना,બાળકોમાં પથારી ભીની કરવી,Urinary,Urinary,Low,No,Yes,No,No,Involuntary urination during sleep in children beyond the age it is typically expected to stop.,Draft - pending clinical review
S000246,Flank Pain,कमर के बगल में दर्द,કમરની બાજુમાં દુખાવો,Urinary,Urinary,Medium,No,No,Yes,Yes,"Pain on the side of the back below the ribs, often related to the kidneys.",Draft - pending clinical review
S000247,Foamy Urine,झागदार पेशाब,ફીણવાળું પેશાબ,Urinary,Urinary,Medium,No,No,Yes,Yes,"Urine that appears unusually foamy or bubbly, which can indicate excess protein loss.",Draft - pending clinical review
S000248,Complete Inability to Urinate,पेशाब बिल्कुल न आना,પેશાબ બિલકુલ ન આવવો,Urinary,Urinary,High,Yes,No,Yes,Yes,A complete inability to pass urine — a medical emergency requiring immediate care.,Draft - pending clinical review
S000249,Severe Flank Pain with Vomiting (Possible Kidney Stone),उल्टी के साथ कमर में तेज़ दर्द (किडनी की पथरी),ઉલટી સાથે કમરમાં તીવ્ર દુખાવો (કિડનીની પથરી),Urinary,Urinary,High,Yes,No,Yes,Yes,"Intense, wave-like flank pain with vomiting is a classic sign of a kidney stone.",Draft - pending clinical review
S000250,Weak Urine Stream,पेशाब की धार कमजोर होना,પેશાબની ધાર નબળી પડવી,Urinary,Urinary,Low,No,No,No,Yes,"A noticeably weaker flow of urine than before, often related to prostate enlargement.",Draft - pending clinical review
S000251,Nighttime Urination (Nocturia),रात में बार-बार पेशाब आना,રાત્રે વારંવાર પેશાબ આવવો,Urinary,Urinary,Low,No,No,No,Yes,Waking up multiple times at night to urinate.,Draft - pending clinical review
S000252,Fever with Joint Pain (Possible Dengue/Chikungunya),बुखार के साथ जोड़ों में दर्द (डेंगू/चिकनगुनिया),તાવ સાથે સાંધામાં દુખાવો (ડેંગ્યુ/ચિકનગુનિયા),Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Fever combined with significant joint pain, common with mosquito-borne illnesses in India.",Draft - pending clinical review
S000253,Fever with Chills and Sweating (Possible Malaria),बुखार के साथ ठंड और पसीना (मलेरिया),તાવ સાથે ઠંડી અને પરસેવો (મેલેરિયા),Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Cyclical fever with chills and heavy sweating, a pattern typical of malaria.",Draft - pending clinical review
S000254,"Prolonged Fever (more than 2 weeks, Possible Typhoid)",2 हफ्तों से ज़्यादा बुखार (टाइफाइड),2 અઠવાડિયાથી વધુ તાવ (ટાઇફોઇડ),Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Fever persisting for more than two weeks, which needs evaluation for causes such as typhoid or tuberculosis.",Draft - pending clinical review
S000255,Fever with Rash and Red Eyes,बुखार के साथ दाने और आंखों की लालिमा,તાવ સાથે ચકામા અને આંખોની લાલાશ,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,No,"Fever accompanied by a skin rash and red eyes, seen in several viral infections.",Draft - pending clinical review
S000256,Fever with Neck Stiffness (Possible Meningitis),बुखार के साथ गर्दन का अकड़ना (मेनिनजाइटिस),તાવ સાથે ગરદન અકડાવી (મેનિન્જાઇટિસ),Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,Fever with a stiff neck is a warning sign of meningitis and needs emergency evaluation.,Draft - pending clinical review
S000257,Fever with Severe Body Ache,बुखार के साथ पूरे शरीर में तेज़ दर्द,તાવ સાથે આખા શરીરમાં તીવ્ર દુખાવો,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,Yes,"Fever combined with intense muscle and body aches, common in viral infections like influenza or dengue.",Draft - pending clinical review
S000258,Fever with Yellowing of Skin,बुखार के साथ पीलिया,તાવ સાથે કમળો,Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Fever occurring with jaundice, which can indicate hepatitis or another liver-related infection.",Draft - pending clinical review
S000259,Swollen Lymph Nodes,लसीका ग्रंथियों में सूजन,લસિકા ગ્રંથિમાં સોજો,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,Yes,"Enlarged, sometimes tender lumps under the skin, often near the neck, armpit, or groin, from infection.",Draft - pending clinical review
S000260,Fever with Cough and Breathlessness,बुखार के साथ खांसी और सांस फूलना,તાવ સાથે ઉધરસ અને શ્વાસ ચઢવો,Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Fever together with cough and breathing difficulty, which can indicate pneumonia or other respiratory infection.",Draft - pending clinical review
S000261,Fever with Rash and Bleeding Gums (Emergency),"बुखार, दाने और मसूड़ों से खून आना","તાવ, ચકામા અને પેઢામાંથી લોહી",Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,Fever with rash and bleeding gums can indicate a severe infection with bleeding tendency — needs urgent care.,Draft - pending clinical review
S000262,Fever After Mosquito-Prone Area Travel,मच्छर वाले इलाके की यात्रा के बाद बुखार,મચ્છરવાળા વિસ્તારની મુસાફરી પછી તાવ,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,Yes,"New fever after travel to an area with high mosquito activity, worth mentioning to a doctor.",Draft - pending clinical review
S000263,"Fever with Low Platelet Signs (Bruising, Bleeding Gums)",बुखार के साथ प्लेटलेट कम होने के लक्षण,તાવ સાથે પ્લેટલેટ ઓછું થવાના ચિહ્નો,Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"Fever with easy bruising or bleeding gums can indicate a drop in platelet count, seen in dengue.",Draft - pending clinical review
S000264,Fever Not Responding to Medication,दवा से न उतरने वाला बुखार,દવાથી ન ઊતરતો તાવ,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,Yes,"Fever that continues despite standard fever-reducing medication, which needs medical review.",Draft - pending clinical review
S000265,Animal Bite with Wound,जानवर के काटने से घाव,પ્રાણીના કરડવાથી ઘા,Infectious Diseases,Infectious Diseases,High,Yes,Yes,Yes,Yes,"A bite wound from an animal, which needs prompt cleaning and medical evaluation for infection or rabies risk.",Draft - pending clinical review
S000266,Skin Sores with Fever,बुखार के साथ त्वचा पर घाव,તાવ સાથે ત્વચા પર ચાંદા,Infectious Diseases,Infectious Diseases,Medium,No,Yes,Yes,Yes,"Skin sores appearing together with fever, which may indicate a spreading infection.",Draft - pending clinical review
S000267,Poor Feeding in Infant,शिशु का ठीक से दूध न पीना,શિશુનું બરાબર દૂધ ન પીવું,Pediatric,Pediatric,Medium,No,Yes,No,No,An infant feeding less than usual or refusing feeds.,Draft - pending clinical review
S000268,Excessive Crying in Infant,शिशु का अत्यधिक रोना,શિશુનું વધુ પડતું રડવું,Pediatric,Pediatric,Medium,No,Yes,No,No,"Crying that is unusually prolonged, intense, or inconsolable in an infant.",Draft - pending clinical review
S000269,Delayed Developmental Milestones,विकास में देरी,વિકાસમાં વિલંબ,Pediatric,Pediatric,Medium,No,Yes,No,No,"A child not reaching expected physical, speech, or social milestones on time.",Draft - pending clinical review
S000270,High Fever in Infant Under 3 Months,3 महीने से कम उम्र के शिशु में तेज़ बुखार,3 મહિનાથી ઓછી ઉંમરના શિશુમાં તાવ,Pediatric,Pediatric,High,Yes,Yes,No,No,Any fever in an infant under three months old needs immediate medical evaluation.,Draft - pending clinical review
S000271,Bulging Soft Spot in Infant,शिशु के सिर का नरम हिस्सा उभरना,શિશુના માથાનો નરમ ભાગ ઉપસવો,Pediatric,Pediatric,High,Yes,Yes,No,No,"A bulging fontanelle (soft spot) in an infant's head, which can indicate raised pressure and needs urgent care.",Draft - pending clinical review
S000272,Lethargy in Infant,शिशु में सुस्ती,શિશુમાં સુસ્તી,Pediatric,Pediatric,High,Yes,Yes,No,No,"An infant who is unusually inactive, hard to wake, or unresponsive — needs prompt evaluation.",Draft - pending clinical review
S000273,Difficulty Breathing in Infant,शिशु को सांस लेने में तकलीफ,શિશુને શ્વાસ લેવામાં તકલીફ,Pediatric,Pediatric,High,Yes,Yes,No,No,Any visible breathing difficulty in an infant is an emergency.,Draft - pending clinical review
S000274,Refusal to Feed,दूध पीने से इनकार करना,દૂધ પીવાનો ઇનકાર,Pediatric,Pediatric,Medium,No,Yes,No,No,"A baby consistently refusing to feed, which can be a sign of illness.",Draft - pending clinical review
S000275,Seizures with Fever in Child (Febrile Seizure),बच्चे में बुखार के साथ दौरे,બાળકમાં તાવ સાથે હુમલા,Pediatric,Pediatric,High,Yes,Yes,No,No,Convulsions occurring with fever in a young child — needs prompt medical evaluation.,Draft - pending clinical review
S000276,Rash with Fever in Child,बच्चे में बुखार के साथ दाने,બાળકમાં તાવ સાથે ચકામા,Pediatric,Pediatric,Medium,No,Yes,No,No,"A skin rash appearing alongside fever in a child, seen in several childhood illnesses.",Draft - pending clinical review
S000277,"Dehydration Signs in Child (Dry Mouth, Few Wet Diapers)",बच्चे में पानी की कमी के लक्षण,બાળકમાં પાણીની ઉણપના ચિહ્નો,Pediatric,Pediatric,High,Yes,Yes,No,No,Signs like a dry mouth or reduced urination in a child that suggest dehydration.,Draft - pending clinical review
S000278,Poor Weight Gain in Infant,शिशु का वजन ठीक से न बढ़ना,શિશુનું વજન બરાબર ન વધવું,Pediatric,Pediatric,Medium,No,Yes,No,No,An infant gaining weight more slowly than expected for their age.,Draft - pending clinical review
S000279,Irritability in Infant,शिशु में चिड़चिड़ापन,શિશુમાં ચીડિયાપણું,Pediatric,Pediatric,Medium,No,Yes,No,No,An infant who is unusually fussy or difficult to console.,Draft - pending clinical review
S000280,Bluish Lips in Infant,शिशु के होंठों का नीला पड़ना,શિશુના હોઠનું ભૂરું પડવું,Pediatric,Pediatric,High,Yes,Yes,No,No,Bluish discoloration of an infant's lips indicates low oxygen and is a medical emergency.,Draft - pending clinical review
